10005	204626	50
10010	93452	80
10015	205624	80
10020	170087	80
10025	166480	50
10030	194937	80
10035	170112	80
10040	167894	80
10045	165067	80
10050	220698	100
10055	224964	50
10060	207706	200
10065	217337	200
10070	209383	50
10075	219865	80
10080	224263	50
10085	222349	50
10090	217338	80
10095	211334	80
20005	144592	50
20010	144593	50
20015	144594	50
20020	78223	50
20025	78224	50
20030	78225	50
20035	190733	50
20040	190734	50
20045	223770	50
20050	163430	50
20055	144597	50
20060	144598	50
20065	163032	25
20070	163033	25
20075	81070	25
20080	78229	25
20085	200688	25
20090	81071	5
30005	67463	50
30010	67464	50
30015	158976	50
30020	183407	50
30025	196541	50
30030	183408	50
30035	196543	50
30040	67467	50
30045	158305	50
30050	195489	50
30055	88103	50
30060	195490	50
30065	183409	50
30070	183410	50
30075	196546	50
30080	67468	50
30085	195488	50
30090	196559	50
30095	183411	50
30100	93158	50
30105	183413	50
30110	67207	50
30115	196341	50
30120	67206	50
30125	71055	50
30130	205630	50
30135	202463	30
40005	177225	25
40010	177226	25
40015	177227	50
40020	191494	50
40025	212075	15
40030	212085	15
40035	215988	50
40040	214042	50
40045	201221	50
40050	201217	10
40055	201218	10
40060	212569	50
40065	210325	25
40070	222680	25
40075	204497	25
40080	194827	25
40085	194839	25
40090	194840	25
50005	161220	50
50010	161221	50
50015	222978	50
50020	222979	50
50025	161222	50
50030	161223	50
50035	161228	50
50040	161227	50
50045	161226	50
50050	161225	50
50055	213099	250
50060	213123	250
50065	213895	15
50070	213894	15
50075	213431	10
50080	213435	10
50085	213893	10
50090	213892	10
60005	72413	75
60010	220837	0
60015	72414	75
60020	160268	25
60025	201075	25
60030	174515	25
60035	210382	50
60040	210383	50
60045	216369	50
70005	215449	50
70010	215436	50
70015	215341	50
80005	176064	10
80010	176065	10
